Category,Forum Name,Title,Ravelry Link/Message,Tags,Catbox link,Attachment name,other info
Crochet,amigurumi,The Aviator Princess by Chiara Cremon and Paola Dansi,https://www.ravelry.com/patterns/library/the-aviator-princess,,,,
Crochet,amigurumi,Ocean Loafy Hats by CozyLoafCat,https://www.etsy.com/uk/listing/4303766474/loafy-cat-and-hat-ocean-edition-crochet?crt=1&sts=1,,,,
Crochet,amigurumi,Loafy Cats Bakery Collection by CozyLoafCat,https://www.etsy.com/uk/listing/1755330619/loafy-cat-and-hat-bakery-edition-crochet?bes=1&sts=1,,,,
Crochet,amigurumi,Colorful Crochet Birds by Ilaria Caliri,https://www.etsy.com/listing/1707328042/19-crochet-bird-patterns-amigurumi-pdf,,,,
Crochet,amigurumi,Christmas Cat Deer by Maria Zhyrakova,https://www.ravelry.com/patterns/library/christmas-cat-deer,,,,
Crochet,amigurumi,Cat-Yaki by CozyLoafCat,https://www.etsy.com/uk/listing/1739260494/cat-yaki-crochet-pattern?bes=1&sts=1,,,,
Crochet,amigurumi,Animal friends of Pica Pau 2,https://www.ravelry.com/patterns/sources/animal-friends-of-pica-pau-2,,,,
Crochet,amigurumi,Animal friends of Pica Pau,https://www.ravelry.com/patterns/sources/animal-friends-of-pica-pau,,,,
Crochet,other,Vintage Teddy Bear Blanket by Dragana Savkov Bajic,https://www.ravelry.com/patterns/library/vintage-teddy-bear-blanket,,,,
Crochet,other,"Sleep tight, little bear CAL by BebaBlanket",https://www.ravelry.com/patterns/library/sleep-tight-little-bear-cal,,,,
Crochet,other,Royal Garden Blanket by Jane Crowfoot,https://www.ravelry.com/patterns/library/royal-garden-blanket,,,,
Crochet,other,Persian Tiles Blanket by Jane Crowfoot,https://www.ravelry.com/patterns/library/persian-tiles-blanket,,,,
Crochet,other,Flou Pillow by DeBrosse,https://debrosse.com/products/flou,,,,
Crochet,other,Crochet Crush by Molla Mills,,,https://files.catbox.moe/pownrl.pdf,,
Crochet,other,Animal Kingdom Blanketby Katy Mitchell,https://www.ravelry.com/patterns/library/animal-kingdom-blanket,,,,
Crochet,wearables,Tulsa Jacket by Diane Moyer,https://www.ravelry.com/patterns/library/tulsa-jacket,,,,
Crochet,wearables,The Demeter Top by Lizard&Hook,https://www.etsy.com/listing/1251706361/the-demeter-top-crochet-pattern,,,,
Crochet,wearables,Sunburst Mosaic Bralette by Lizard & Hook,https://www.etsy.com/listing/1120886264/crochet-top-pattern-sunburst-mosaic,,,,
Crochet,wearables,Sofi Top by Daisy and Dime,https://www.ravelry.com/patterns/library/sofi-top,,,,
Crochet,wearables,Mountain Laurel Dress by Daisy and Dime,https://www.ravelry.com/patterns/library/mountain-laurel-dress,,,,
Crochet,wearables,Modern Crochet Style by Lindsey Newns,,,https://files.catbox.moe/8nk0ex.pdf,,
Crochet,wearables,Mallory Mock Neck Top by Handmade by Hanna Louise,https://www.ravelry.com/patterns/library/mallory-mock-neck,,,,
Crochet,wearables,Hot Girl Crochet by Rose Svane,https://www.ravelry.com/patterns/library/cold-shoulder-crop,,,,
Crochet,wearables,Fleur Sweater by Sandnes Garn,https://www.ravelry.com/patterns/library/fleur-sweater-2,,,,
Crochet,wearables,CIY: Crochet It Yourself by Emma Wright,,,https://files.catbox.moe/rpuvsn.pdf,,
Crochet,wearables,Buttercup Top by Daisy and Dime,https://www.ravelry.com/patterns/library/buttercup-top,,,,
Crochet,wearables,Bunny Hat by Xenia/Xallua,https://www.etsy.com/listing/1648849173/?ref=share_ios_native_control,,,,
Crochet,wearables,Aries Sweater by Ana-Maria,https://www.ravelry.com/patterns/library/aries-sweater-2,,,,
Designer A-F,aegyoknit,yoreum top,https://www.ravelry.com/patterns/library/yoreum-top,Top/Tank/Blouse,https://files.catbox.moe/pbpol4.pdf,,
Designer A-F,aegyoknit,umma sweater,https://www.ravelry.com/patterns/library/umma-sweater,Sweater/Jumper,https://files.catbox.moe/utwsuh.pdf,,
Designer A-F,aegyoknit,umma cape,https://www.ravelry.com/patterns/library/umma-cape,"Vest/Slipover,Cardigan/Jacket",https://files.catbox.moe/9bf5si.pdf,,
Designer A-F,aegyoknit,sylvia wrap skirt,https://www.ravelry.com/patterns/library/sylvia-wrap-skirt,Dress/Skirt,https://files.catbox.moe/eiphcp.pdf,,
Designer A-F,aegyoknit,sook moon sweater,https://www.ravelry.com/patterns/library/sook-moon-sweater,Sweater/Jumper,https://files.catbox.moe/4468ie.pdf,,
Designer A-F,aegyoknit,seoul blouse,https://www.ravelry.com/patterns/library/seoul-blouse,Top/Tank/Blouse,https://files.catbox.moe/i7mwz8.pdf,,
Designer A-F,aegyoknit,Sarang sweater,https://www.ravelry.com/patterns/library/sarang-sweater,Sweater/Jumper,https://files.catbox.moe/uc95e6.pdf,,
Designer A-F,aegyoknit,san sweater,https://www.ravelry.com/patterns/library/san-sweater,Sweater/Jumper,https://files.catbox.moe/78sgpp.pdf,,
Designer A-F,aegyoknit,ppoppo sweater,https://www.ravelry.com/patterns/library/ppoppo-sweater,Sweater/Jumper,https://files.catbox.moe/2g3n6g.pdf,,
Designer A-F,aegyoknit,Petra bag,https://www.ravelry.com/patterns/library/petra-bag,Accessory,https://files.catbox.moe/pstubn.pdf,,
Designer A-F,aegyoknit,Obba sweater,https://www.ravelry.com/patterns/library/obba-sweater,Sweater/Jumper,https://files.catbox.moe/0a7h21.pdf,,
Designer A-F,aegyoknit,narae cropped sweater,https://www.ravelry.com/patterns/library/narae-cropped-sweater,Sweater/Jumper,https://files.catbox.moe/aa3apk.pdf,,
Designer A-F,aegyoknit,Nabi Slipover,https://www.ravelry.com/patterns/library/nabi-slipover,"Cardigan,Sweater/Jumper",https://files.catbox.moe/peqbwe.pdf,,
Designer A-F,aegyoknit,jeol sweater,https://www.ravelry.com/patterns/library/jeol-sweater,Sweater/Jumper,https://files.catbox.moe/re8yts.pdf,,
Designer A-F,aegyoknit,jeju sweater,https://www.ravelry.com/patterns/library/jeju-sweater-2,Sweater/Jumper,https://files.catbox.moe/blnjax.pdf,,
Designer A-F,aegyoknit,Haraboji Cardigan,https://www.ravelry.com/patterns/library/haraboji-cardigan,Cardigan/Jacket,https://files.catbox.moe/06owxi.pdf,,
Designer A-F,aegyoknit,gujo sweater,https://www.ravelry.com/patterns/library/gujo-sweater,Sweater/Jumper,https://files.catbox.moe/8azyu8.pdf,,
Designer A-F,aegyoknit,Gujo collar,https://www.ravelry.com/patterns/library/gujo-collar,Neckwear,https://files.catbox.moe/0606mg.pdf,,
Designer A-F,aegyoknit,goreum bag,https://www.ravelry.com/patterns/library/goreum-bag,Accessory,https://files.catbox.moe/4wu4bd.pdf,,
Designer A-F,aegyoknit,gerda sweater,https://www.ravelry.com/patterns/library/gerda-sweater-2,Sweater/Jumper,https://files.catbox.moe/ttob3u.pdf,,
Designer A-F,aegyoknit,eurus sweater,https://www.ravelry.com/patterns/library/eurus-sweater,Sweater/Jumper,https://files.catbox.moe/5qxr2m.pdf,,
Designer A-F,aegyoknit,busan tee,https://www.ravelry.com/patterns/library/busan-tee,Top/Tank/Blouse,https://files.catbox.moe/fh1h4f.pdf,,DEU
Designer A-F,aegyoknit,busan sweater,https://www.ravelry.com/patterns/library/busan-sweater,Sweater/Jumper,https://files.catbox.moe/xlvj6q.pdf,,
Designer A-F,aegyoknit,boreas sweater,https://www.ravelry.com/patterns/library/boreas-sweater,Sweater/Jumper,https://files.catbox.moe/wdpk10.pdf,,
Designer A-F,aegyoknit,bepeu blouse,https://www.ravelry.com/patterns/library/bepeu-blouse,"Top/Tank/Blouse,Sweater/Jumper",https://files.catbox.moe/iz4aez.pdf,,
Designer A-F,aegyoknit,bawi sweater,https://www.ravelry.com/patterns/library/bawi-sweater,Sweater/Jumper,https://files.catbox.moe/urz9ga.pdf,,
Designer A-F,aegyoknit,aegyo sweater,https://www.ravelry.com/patterns/library/aegyo-sweater,Sweater/Jumper,https://files.catbox.moe/5otsmj.pdf,,
Designer A-F,aftenstrikk,Fridagsvest,https://www.ravelry.com/patterns/library/fridagsvest-2,,,,
Designer A-F,aftenstrikk,Fridag Cardigan,https://aftenstrikk.com/products/fridag-cardigan-v-neck-english,,,,
Designer A-F,ailbiona-mclochlainn,Versal,https://www.ravelry.com/patterns/library/versal,Sweater/Jumper,https://files.catbox.moe/amt7a3.pdf,,
Designer A-F,ailbiona-mclochlainn,Turntable Pullover,https://www.ravelry.com/patterns/library/turntable-pullover,,https://files.catbox.moe/vpbi2e.pdf,,
Designer A-F,ailbiona-mclochlainn,TULC,https://www.ravelry.com/patterns/library/tulc,,https://files.catbox.moe/w02yrt.pdf,,
Designer A-F,ailbiona-mclochlainn,Tras,https://www.ravelry.com/patterns/library/tras,,https://files.catbox.moe/lm0kw1.pdf,,
Designer A-F,ailbiona-mclochlainn,Tonnta,https://www.ravelry.com/patterns/library/tonnta,Sweater/Jumper,https://files.catbox.moe/ldyorc.pdf,,
Designer A-F,ailbiona-mclochlainn,Timepiece Pullover,https://www.ravelry.com/patterns/library/timepiece-pullover,Sweater/Jumper,https://files.catbox.moe/xveq7c.pdf,,
Designer A-F,ailbiona-mclochlainn,Stalk and Pip Beret,https://www.ravelry.com/patterns/library/stalk-and-pip-beret,Hat,https://files.catbox.moe/78ycwy.pdf,,
Designer A-F,ailbiona-mclochlainn,Sleeping in the Garden,https://www.ravelry.com/patterns/library/sleeping-in-the-garden,"Accessory,Socks",https://files.catbox.moe/2av0si.pdf,,
Designer A-F,ailbiona-mclochlainn,Seaside Disco T,https://www.ravelry.com/patterns/library/seaside-disco-t,Top/Tank/Blouse,https://files.catbox.moe/17mggo.pdf,,
Designer A-F,ailbiona-mclochlainn,Scéal Grá,https://www.ravelry.com/patterns/library/sceal-gra,Sweater/Jumper,https://files.catbox.moe/ylz2q9.pdf,,
Designer A-F,ailbiona-mclochlainn,Rinn,https://www.ravelry.com/patterns/library/rinn,Top/Tank/Blouse,https://files.catbox.moe/uroali.pdf,,
Designer A-F,ailbiona-mclochlainn,Meirg,https://www.ravelry.com/patterns/library/meirg,,https://files.catbox.moe/evgkjq.pdf,,
Designer A-F,ailbiona-mclochlainn,Lastlong Pullover,https://www.ravelry.com/patterns/library/lastlong-pullover,Sweater/Jumper,https://files.catbox.moe/cgl335.pdf,,
Designer A-F,ailbiona-mclochlainn,Laitís,https://www.ravelry.com/patterns/library/laitis,,https://files.catbox.moe/8z9qbq.pdf,,
Designer A-F,ailbiona-mclochlainn,Jadwiga,https://www.ravelry.com/patterns/library/jadwiga-2,Sweater/Jumper,https://files.catbox.moe/vph557.pdf,,
Designer A-F,ailbiona-mclochlainn,J&P Cardigan,https://www.ravelry.com/patterns/library/jp-cardigan,,https://files.catbox.moe/qqv3xz.pdf,,
Designer A-F,ailbiona-mclochlainn,Inver Hat,https://www.ravelry.com/patterns/library/inver-hat,,https://files.catbox.moe/u3b6pa.pdf,,
Designer A-F,ailbiona-mclochlainn,Inver,https://www.ravelry.com/patterns/library/inver,,https://files.catbox.moe/clxm7o.pdf,,
Designer A-F,ailbiona-mclochlainn,Inse,https://www.ravelry.com/patterns/library/inse,Sweater/Jumper,https://files.catbox.moe/j0h5s2.pdf,,
Designer A-F,ailbiona-mclochlainn,Guilloche Pullover Lite,https://www.ravelry.com/patterns/library/guilloche-pullover-lite,Sweater/Jumper,https://files.catbox.moe/lexwpe.pdf,,
Designer A-F,ailbiona-mclochlainn,Fiúise,https://www.ravelry.com/patterns/library/fiuise,,https://files.catbox.moe/lelben.pdf,,
Designer A-F,ailbiona-mclochlainn,Expanding Rib Beanie,https://www.ravelry.com/patterns/library/expanding-rib-beanie,,https://files.catbox.moe/6tbg59.pdf,,
Designer A-F,ailbiona-mclochlainn,Cúr,https://www.ravelry.com/patterns/library/cur-2,Top/Tank/Blouse,https://files.catbox.moe/tz7rns.pdf,,
Designer A-F,ailbiona-mclochlainn,Csilla Cowl,https://www.ravelry.com/patterns/library/csilla-cowl,,https://files.catbox.moe/iurzp8.pdf,,
Designer A-F,ailbiona-mclochlainn,Criostal Cardigan,https://www.ravelry.com/patterns/library/criostal-cardigan,,https://files.catbox.moe/tpqtij.pdf,,
Designer A-F,ailbiona-mclochlainn,Criostal Blouse,https://www.ravelry.com/patterns/library/criostal-blouse,Sweater/Jumper,https://files.catbox.moe/587oys.pdf,,
Designer A-F,ailbiona-mclochlainn,Ciorcal,https://www.ravelry.com/patterns/library/ciorcal,,https://files.catbox.moe/2b3bgo.pdf,,
Designer A-F,ailbiona-mclochlainn,Capelan Skirt,https://www.ravelry.com/patterns/library/capelan-skirt,Dress/Skirt,https://files.catbox.moe/lik8ya.pdf,,
Designer A-F,ailbiona-mclochlainn,Braids of Grass,https://www.ravelry.com/patterns/library/braids-of-grass,Sweater/Jumper,https://files.catbox.moe/ve5y4h.pdf,,
Designer A-F,ailbiona-mclochlainn,Basic Sock with Integrated Heel,https://www.ravelry.com/patterns/library/basic-sock-with-integrated-heel,Accessory,https://files.catbox.moe/wnkiv3.pdf,,
Designer A-F,aimee-sher,The Relax Tee,https://www.ravelry.com/patterns/library/the-relax-tee,Top/Tank/Blouse,https://files.catbox.moe/o9qduy.pdf,,
Designer A-F,aimee-sher,Slightly Sassy V,https://www.ravelry.com/patterns/library/slightly-sassy-v,Sweater/Jumper,"https://files.catbox.moe/pcge19.pdf,https://files.catbox.moe/wcjae1.pdf",,
Designer A-F,aimee-sher,Coloring Book Tee,https://www.ravelry.com/patterns/library/coloring-book-tee,Sweater/Jumper,"https://files.catbox.moe/j4v8ll.pdf,https://files.catbox.moe/rdfl9b.pdf",,
Designer A-F,aimee-sher,Coloring Book Raglan,https://www.ravelry.com/patterns/library/coloring-book-raglan,Top/Tank/Blouse,https://files.catbox.moe/cvwvn6.pdf,,
Designer A-F,along-avec-anna,Wisteria (Jumper),https://www.ravelry.com/patterns/library/wisteria-jumper-2,Sweater/Jumper,https://files.catbox.moe/xdba1s.pdf,WISTERIA-2021-ENG-ogwsid.pdf,
