Category,Forum Name,Title,Ravelry Link/Message,Tags,Catbox link,Column 1,Column 8,Column 9
Crochet,amigurumi,The Aviator Princess by Chiara Cremon and Paola Dansi,https://www.ravelry.com/patterns/library/the-aviator-princess,,https://files.catbox.moe/almx2h.pdf,,,
Crochet,amigurumi,Ocean Loafy Hats by CozyLoafCat,https://www.etsy.com/uk/listing/4303766474/loafy-cat-and-hat-ocean-edition-crochet?crt=1&sts=1,,,,,
Crochet,amigurumi,Loafy Cats Bakery Collection by CozyLoafCat,https://www.etsy.com/uk/listing/1755330619/loafy-cat-and-hat-bakery-edition-crochet?bes=1&sts=1,,,,,
Crochet,amigurumi,How to Crochet Animals WILD Kerry Lord,https://www.ravelry.com/patterns/sources/how-to-crochet-animals-wild,,https://files.catbox.moe/uttubn.pdf,,,
Crochet,amigurumi,How to Crochet Animals PETS Kerry Lord,https://www.ravelry.com/patterns/sources/how-to-crochet-animals-pets,,https://files.catbox.moe/wtllrh.pdf,,,
Crochet,amigurumi,How to Crochet Animals OCEAN Kerry Lord,https://www.ravelry.com/patterns/sources/how-to-crochet-animals-ocean,,https://files.catbox.moe/jjm6ds.pdf,,,
Crochet,amigurumi,How to Crochet Animals FARM kerry Lord,https://www.ravelry.com/patterns/sources/how-to-crochet-animals-farm,,https://files.catbox.moe/ey1nxo.pdf,,,
Crochet,amigurumi,Edward's Menagerie DOGS Kerry Lord,https://www.ravelry.com/patterns/sources/edwards-menagerie-dogs-2018,,https://files.catbox.moe/m4uyws.pdf,,,
Crochet,amigurumi,Edward's Menagerie (2014) Kerry Lord,https://www.ravelry.com/patterns/sources/edwards-menagerie-2014,,https://files.catbox.moe/pj5h6q.pdf,,,
Crochet,amigurumi,Colorful Crochet Birds by Ilaria Caliri,https://www.ravelry.com/patterns/sources/colorful-crochet-birds-19-amigurumi-patterns-to-create-feathered-friends,,https://files.catbox.moe/3il78o.pdf,,,
Crochet,amigurumi,Christmas Cat Deer by Maria Zhyrakova,https://www.ravelry.com/patterns/library/christmas-cat-deer,,https://files.catbox.moe/kmivf7.pdf,,,
Crochet,amigurumi,Animal Friends of Pica Pau 3,https://www.ravelry.com/patterns/sources/animal-friends-of-pica-pau-3,,https://files.catbox.moe/77b8f7.pdf,,,
Crochet,amigurumi,Animal friends of Pica Pau 2,https://www.ravelry.com/patterns/sources/animal-friends-of-pica-pau-2,,https://files.catbox.moe/oujdwm.pdf,,,
Crochet,amigurumi,Animal friends of Pica Pau,https://www.ravelry.com/patterns/sources/animal-friends-of-pica-pau,,https://files.catbox.moe/4o7ech.pdf,,,
Crochet,amigurumi,Alexandra's Garden FLOWERS Kerry Lord,https://www.ravelry.com/patterns/sources/alexandras-garden-flowers,,https://files.catbox.moe/3zsm1c.pdf,,,
Crochet,other crochet,Raffia Crochet by Wool and the Gang,https://www.ravelry.com/patterns/sources/raffia-crochet,,https://files.catbox.moe/k64zqt.pdf,,,
Crochet,other crochet,Vintage Teddy Bear Blanket by Dragana Savkov Bajic,https://www.ravelry.com/patterns/library/vintage-teddy-bear-blanket,,,,,
Crochet,other crochet,"Sleep tight, little bear CAL by BebaBlanket",https://www.ravelry.com/patterns/library/sleep-tight-little-bear-cal,,,,,
Crochet,other crochet,Royal Garden Blanket by Jane Crowfoot,https://www.ravelry.com/patterns/library/royal-garden-blanket,,https://files.catbox.moe/ijvybz.pdf,,,
Crochet,other crochet,Persian Tiles Blanket by Jane Crowfoot,https://www.ravelry.com/patterns/library/persian-tiles-blanket,,https://files.catbox.moe/i5zp70.pdf,,,
Crochet,other crochet,Flou Pillow by DeBrosse,https://debrosse.com/products/flou,,https://files.catbox.moe/byv3zm.pdf,,,
Crochet,other crochet,Crochet Crush by Molla Mills,https://www.ravelry.com/patterns/sources/crochet-crush/patterns,,https://files.catbox.moe/pownrl.pdf,,,
Crochet,other crochet,Animal Kingdom Blanketby Katy Mitchell,https://www.ravelry.com/patterns/library/animal-kingdom-blanket,,,,,
Crochet,wearables,Tulsa Jacket by Diane Moyer,https://www.ravelry.com/patterns/library/tulsa-jacket,,https://files.catbox.moe/frkqog.pdf,,,
Crochet,wearables,The Demeter Top by Lizard&Hook,https://www.etsy.com/listing/1251706361/the-demeter-top-crochet-pattern,,,,,
Crochet,wearables,Sunburst Mosaic Bralette by Lizard & Hook,https://www.etsy.com/listing/1120886264/crochet-top-pattern-sunburst-mosaic,,,,,
Crochet,wearables,Sofi Top by Daisy and Dime,https://www.ravelry.com/patterns/library/sofi-top,,,,,
Crochet,wearables,Sarah Tee by Sunflower Cottage Crochet,https://www.ravelry.com/patterns/library/sarah-tee,,https://files.catbox.moe/3vnakg.pdf,,,
Crochet,wearables,Polaris Cardi by Iza Iwan,https://www.ravelry.com/patterns/library/polaris-cardi,,https://files.catbox.moe/s7o2p5.pdf,,,
Crochet,wearables,Polaris Cardi by Iza Iwan,https://www.ravelry.com/patterns/library/polaris-cardi,,https://files.catbox.moe/s7o2p5.pdf,,,
Crochet,wearables,Nicholas V Neck Sweater Vest by Sunflower Cottage Crochet,https://www.ravelry.com/patterns/library/nicholas-v-neck-sweater-vest,,https://files.catbox.moe/8xkxjz.pdf,,,
Crochet,wearables,Mountain Laurel Dress by Daisy and Dime,https://www.ravelry.com/patterns/library/mountain-laurel-dress,,https://files.catbox.moe/mbag9s.pdf,,,
Crochet,wearables,Modern Crochet Style by Lindsey Newns,,,https://files.catbox.moe/8nk0ex.pdf,,,
Crochet,wearables,Mallory Mock Neck Top by Handmade by Hanna Louise,https://www.ravelry.com/patterns/library/mallory-mock-neck,,https://files.catbox.moe/zu57gw.pdf,,,
Crochet,wearables,Kalina Sweater,https://www.ravelry.com/patterns/library/kalina-sweater,,,,,
Crochet,wearables,Jasper Pullover Daisy and Dime,https://www.ravelry.com/patterns/library/jasper-pullover-2,,https://files.catbox.moe/g17ztr.pdf,,,
Crochet,wearables,Hot Girl Crochet by Rose Svane,https://www.ravelry.com/patterns/library/cold-shoulder-crop,,,,,
Crochet,wearables,Fleur Sweater by Sandnes Garn,https://www.ravelry.com/patterns/library/fleur-sweater-2,,https://files.catbox.moe/ohbct3.pdf,,,
Crochet,wearables,Everyday Hoodie by Sincerely Pam (mens),https://www.ravelry.com/patterns/library/everyday-hoody---adult,,https://files.catbox.moe/csewut.pdf,,,
Crochet,wearables,Everyady Hoody by Sincerely Pam (womens),https://www.ravelry.com/patterns/library/everyday-hoody---adult,,https://files.catbox.moe/8ozo3k.pdf,,,
Crochet,wearables,CIY: Crochet It Yourself by Emma Wright,,,https://files.catbox.moe/rpuvsn.pdf,,,
Crochet,wearables,Buttercup Top by Daisy and Dime,https://www.ravelry.com/patterns/library/buttercup-top,,https://files.catbox.moe/hff1y2.pdf,,,
Crochet,wearables,Bunny Hat by Xenia/Xallua,https://www.etsy.com/listing/1648849173/?ref=share_ios_native_control,,,,,
Crochet,wearables,Aries Sweater by Ana-Maria,https://www.ravelry.com/patterns/library/aries-sweater-2,,https://files.catbox.moe/544rzj.pdf,,,
Crochet,amigurumi,Animal Friends of Pica Pau 3,https://www.ravelry.com/patterns/sources/animal-friends-of-pica-pau-3,,https://files.catbox.moe/77b8f7.pdf,,,
Crochet,wearables,Snapdragon Dress Daisy and Dime,https://www.ravelry.com/patterns/library/snapdragon-dress,,https://files.catbox.moe/fi8eea.pdf,,,
Designer A–F,aegyoknit,yoreum top,https://www.ravelry.com/patterns/library/yoreum-top,Top/Tank/Blouse,https://files.catbox.moe/pbpol4.pdf,,,
Designer A–F,aegyoknit,umma sweater,https://www.ravelry.com/patterns/library/umma-sweater,Pullover,https://files.catbox.moe/utwsuh.pdf,,,
Designer A–F,aegyoknit,umma cape,https://www.ravelry.com/patterns/library/umma-cape,"Vest/Slipover, Cardigan",https://files.catbox.moe/9bf5si.pdf,,,
Designer A–F,aegyoknit,sylvia wrap skirt,https://www.ravelry.com/patterns/library/sylvia-wrap-skirt,Dress/Bottoms,https://files.catbox.moe/eiphcp.pdf,,,
Designer A–F,aegyoknit,sook moon sweater,https://www.ravelry.com/patterns/library/sook-moon-sweater,Pullover,https://files.catbox.moe/4468ie.pdf,,,
Designer A–F,aegyoknit,seoul blouse,https://www.ravelry.com/patterns/library/seoul-blouse,Top/Tank/Blouse,https://files.catbox.moe/i7mwz8.pdf,,,
Designer A–F,aegyoknit,Sarang sweater,https://www.ravelry.com/patterns/library/sarang-sweater,Pullover,https://files.catbox.moe/uc95e6.pdf,,,
Designer A–F,aegyoknit,san sweater,https://www.ravelry.com/patterns/library/san-sweater,Pullover,https://files.catbox.moe/78sgpp.pdf,,,
Designer A–F,aegyoknit,ppoppo sweater,https://www.ravelry.com/patterns/library/ppoppo-sweater,Pullover,https://files.catbox.moe/2g3n6g.pdf,,,
Designer A–F,aegyoknit,Petra bag,https://www.ravelry.com/patterns/library/petra-bag,Accessory,https://files.catbox.moe/pstubn.pdf,,,
Designer A–F,aegyoknit,Obba sweater,https://www.ravelry.com/patterns/library/obba-sweater,Pullover,https://files.catbox.moe/0a7h21.pdf,,,
Designer A–F,aegyoknit,narae cropped sweater,https://www.ravelry.com/patterns/library/narae-cropped-sweater,Pullover,https://files.catbox.moe/aa3apk.pdf,,,
Designer A–F,aegyoknit,Nabi Slipover,https://www.ravelry.com/patterns/library/nabi-slipover,"Cardigan, Pullover",https://files.catbox.moe/peqbwe.pdf,,,
Designer A–F,aegyoknit,jeol sweater,https://www.ravelry.com/patterns/library/jeol-sweater,Pullover,https://files.catbox.moe/re8yts.pdf,,,
Designer A–F,aegyoknit,jeju sweater,https://www.ravelry.com/patterns/library/jeju-sweater-2,Pullover,https://files.catbox.moe/blnjax.pdf,,,
Designer A–F,aegyoknit,Haraboji Cardigan,https://www.ravelry.com/patterns/library/haraboji-cardigan,Cardigan,https://files.catbox.moe/06owxi.pdf,,,
Designer A–F,aegyoknit,gujo sweater,https://www.ravelry.com/patterns/library/gujo-sweater,Pullover,https://files.catbox.moe/8azyu8.pdf,,,
Designer A–F,aegyoknit,Gujo collar,https://www.ravelry.com/patterns/library/gujo-collar,Neckwear,https://files.catbox.moe/0606mg.pdf,,,
Designer A–F,aegyoknit,goreum bag,https://www.ravelry.com/patterns/library/goreum-bag,Accessory,https://files.catbox.moe/4wu4bd.pdf,,,
Designer A–F,aegyoknit,gerda sweater,https://www.ravelry.com/patterns/library/gerda-sweater-2,Pullover,https://files.catbox.moe/ttob3u.pdf,,,
Designer A–F,aegyoknit,eurus sweater,https://www.ravelry.com/patterns/library/eurus-sweater,Pullover,https://files.catbox.moe/5qxr2m.pdf,,,
Designer A–F,aegyoknit,busan tee,https://www.ravelry.com/patterns/library/busan-tee,Top/Tank/Blouse,https://files.catbox.moe/fh1h4f.pdf,,,
Designer A–F,aegyoknit,busan sweater,https://www.ravelry.com/patterns/library/busan-sweater,Pullover,https://files.catbox.moe/xlvj6q.pdf,,,
Designer A–F,aegyoknit,boreas sweater,https://www.ravelry.com/patterns/library/boreas-sweater,Pullover,https://files.catbox.moe/wdpk10.pdf,,,
Designer A–F,aegyoknit,bepeu blouse,https://www.ravelry.com/patterns/library/bepeu-blouse,"Top/Tank/Blouse, Pullover",https://files.catbox.moe/iz4aez.pdf,,,
Designer A–F,aegyoknit,bawi sweater,https://www.ravelry.com/patterns/library/bawi-sweater,Pullover,https://files.catbox.moe/urz9ga.pdf,,,
Designer A–F,aegyoknit,aegyo sweater,https://www.ravelry.com/patterns/library/aegyo-sweater,Pullover,https://files.catbox.moe/5otsmj.pdf,,,
Designer A–F,aftenstrikk,Fridagsvest,https://www.ravelry.com/patterns/library/fridagsvest-2,,https://files.catbox.moe/yefsh6.pdf,,,
Designer A–F,aftenstrikk,Fridag Cardigan,https://aftenstrikk.com/products/fridag-cardigan-v-neck-english,,https://files.catbox.moe/bm4udp.pdf,,,
Designer A–F,ailbiona-mclochlainn,Versal,https://www.ravelry.com/patterns/library/versal,Pullover,https://files.catbox.moe/amt7a3.pdf,,,
Designer A–F,ailbiona-mclochlainn,Turntable Pullover,https://www.ravelry.com/patterns/library/turntable-pullover,,https://files.catbox.moe/vpbi2e.pdf,,,
Designer A–F,ailbiona-mclochlainn,TULC,https://www.ravelry.com/patterns/library/tulc,,https://files.catbox.moe/w02yrt.pdf,,,
Designer A–F,ailbiona-mclochlainn,Tras,https://www.ravelry.com/patterns/library/tras,,https://files.catbox.moe/lm0kw1.pdf,,,
Designer A–F,ailbiona-mclochlainn,Tonnta,https://www.ravelry.com/patterns/library/tonnta,Pullover,https://files.catbox.moe/ldyorc.pdf,,,
Designer A–F,ailbiona-mclochlainn,Timepiece Pullover,https://www.ravelry.com/patterns/library/timepiece-pullover,Pullover,https://files.catbox.moe/xveq7c.pdf,,,
Designer A–F,ailbiona-mclochlainn,Stalk and Pip Beret,https://www.ravelry.com/patterns/library/stalk-and-pip-beret,Hat,https://files.catbox.moe/78ycwy.pdf,,,
Designer A–F,ailbiona-mclochlainn,Sleeping in the Garden,https://www.ravelry.com/patterns/library/sleeping-in-the-garden,"Accessory, Socks",https://files.catbox.moe/2av0si.pdf,,,
Designer A–F,ailbiona-mclochlainn,Seaside Disco T,https://www.ravelry.com/patterns/library/seaside-disco-t,Top/Tank/Blouse,https://files.catbox.moe/17mggo.pdf,,,
Designer A–F,ailbiona-mclochlainn,Scéal Grá,https://www.ravelry.com/patterns/library/sceal-gra,Pullover,https://files.catbox.moe/ylz2q9.pdf,,,
Designer A–F,ailbiona-mclochlainn,Rinn,https://www.ravelry.com/patterns/library/rinn,Top/Tank/Blouse,https://files.catbox.moe/uroali.pdf,,,
Designer A–F,ailbiona-mclochlainn,Meirg,https://www.ravelry.com/patterns/library/meirg,,https://files.catbox.moe/evgkjq.pdf,,,
Designer A–F,ailbiona-mclochlainn,Lastlong Pullover,https://www.ravelry.com/patterns/library/lastlong-pullover,Pullover,https://files.catbox.moe/cgl335.pdf,,,
Designer A–F,ailbiona-mclochlainn,Laitís,https://www.ravelry.com/patterns/library/laitis,,https://files.catbox.moe/8z9qbq.pdf,,,
Designer A–F,ailbiona-mclochlainn,Jadwiga,https://www.ravelry.com/patterns/library/jadwiga-2,Pullover,https://files.catbox.moe/vph557.pdf,,,
Designer A–F,ailbiona-mclochlainn,J&P Cardigan,https://www.ravelry.com/patterns/library/jp-cardigan,,https://files.catbox.moe/qqv3xz.pdf,,,
Designer A–F,ailbiona-mclochlainn,Inver Hat,https://www.ravelry.com/patterns/library/inver-hat,,https://files.catbox.moe/u3b6pa.pdf,,,
Designer A–F,ailbiona-mclochlainn,Inver,https://www.ravelry.com/patterns/library/inver,,https://files.catbox.moe/clxm7o.pdf,,,
Designer A–F,ailbiona-mclochlainn,Inse,https://www.ravelry.com/patterns/library/inse,Pullover,https://files.catbox.moe/j0h5s2.pdf,,,
Designer A–F,ailbiona-mclochlainn,Guilloche Pullover Lite,https://www.ravelry.com/patterns/library/guilloche-pullover-lite,Pullover,https://files.catbox.moe/lexwpe.pdf,,,
Designer A–F,ailbiona-mclochlainn,Fiúise,https://www.ravelry.com/patterns/library/fiuise,,https://files.catbox.moe/lelben.pdf,,,
Designer A–F,ailbiona-mclochlainn,Expanding Rib Beanie,https://www.ravelry.com/patterns/library/expanding-rib-beanie,,https://files.catbox.moe/6tbg59.pdf,,,
Designer A–F,ailbiona-mclochlainn,Cúr,https://www.ravelry.com/patterns/library/cur-2,Top/Tank/Blouse,https://files.catbox.moe/tz7rns.pdf,,,
Designer A–F,ailbiona-mclochlainn,Csilla Cowl,https://www.ravelry.com/patterns/library/csilla-cowl,,https://files.catbox.moe/iurzp8.pdf,,,
Designer A–F,ailbiona-mclochlainn,Criostal Cardigan,https://www.ravelry.com/patterns/library/criostal-cardigan,,https://files.catbox.moe/tpqtij.pdf,,,
Designer A–F,ailbiona-mclochlainn,Criostal Blouse,https://www.ravelry.com/patterns/library/criostal-blouse,Pullover,https://files.catbox.moe/587oys.pdf,,,
Designer A–F,ailbiona-mclochlainn,Ciorcal,https://www.ravelry.com/patterns/library/ciorcal,,https://files.catbox.moe/2b3bgo.pdf,,,
Designer A–F,ailbiona-mclochlainn,Capelan Skirt,https://www.ravelry.com/patterns/library/capelan-skirt,Dress/Bottoms,https://files.catbox.moe/lik8ya.pdf,,,
Designer A–F,ailbiona-mclochlainn,Braids of Grass,https://www.ravelry.com/patterns/library/braids-of-grass,Pullover,https://files.catbox.moe/ve5y4h.pdf,,,
Designer A–F,ailbiona-mclochlainn,Basic Sock with Integrated Heel,https://www.ravelry.com/patterns/library/basic-sock-with-integrated-heel,Accessory,https://files.catbox.moe/wnkiv3.pdf,,,
Designer A–F,aimee-sher,The Relax Tee,https://www.ravelry.com/patterns/library/the-relax-tee,Top/Tank/Blouse,https://files.catbox.moe/o9qduy.pdf,,,
Designer A–F,aimee-sher,Slightly Sassy V,https://www.ravelry.com/patterns/library/slightly-sassy-v,Pullover,https://files.catbox.moe/pcge19.pdf // https://files.catbox.moe/wcjae1.pdf,,,
Designer A–F,aimee-sher,Coloring Book Tee,https://www.ravelry.com/patterns/library/coloring-book-tee,Pullover,https://files.catbox.moe/j4v8ll.pdf // https://files.catbox.moe/rdfl9b.pdf,,,
Designer A–F,aimee-sher,Coloring Book Raglan,https://www.ravelry.com/patterns/library/coloring-book-raglan,Top/Tank/Blouse,https://files.catbox.moe/cvwvn6.pdf,,,
Designer A–F,alicia-plummer,Starry Night,https://www.ravelry.com/patterns/library/starry-night-32,Top/tank/blouse,https://files.catbox.moe/056wok.pdf,,,
Designer A–F,alicia-plummer,Sote,https://www.ravelry.com/patterns/library/sote,Pullover,https://files.catbox.moe/idufz9.pdf,,,
Designer A–F,alicia-plummer,Popham Pullover,https://www.ravelry.com/patterns/library/popham-pullover,Pullover,https://files.catbox.moe/8p3ilv.pdf,,,
Designer A–F,alicia-plummer,Knotted Pine,https://www.ravelry.com/patterns/library/knotted-pine,hat,https://files.catbox.moe/57j6g4.pdf,,,
Designer A–F,alicia-plummer,In Stillness 2 ENG,https://www.ravelry.com/patterns/library/in-stillness-2,Pullover,https://files.catbox.moe/gvj061.pdf,,,
Designer A–F,alicia-plummer,In Stillness,https://www.ravelry.com/patterns/library/in-stillness,,https://files.catbox.moe/zgjv6m.pdf,,,
Designer A–F,alicia-plummer,Garnered Cardi,https://www.ravelry.com/patterns/library/garnered,cardigan,https://files.catbox.moe/xfh61a.pdf,,,
Designer A–F,alicia-plummer,Finest Kind,https://www.ravelry.com/patterns/library/finest-kind,,https://files.catbox.moe/6z14t5.pdf,,,
Designer A–F,alicia-plummer,Fernwood Drop,https://www.ravelry.com/patterns/library/fernwood-drop,,https://files.catbox.moe/0inahi.pdf,,,
Designer A–F,alicia-plummer,Fernwood,https://www.ravelry.com/patterns/library/fernwood-2,,https://files.catbox.moe/yda7li.pdf,,,
Designer A–F,alicia-plummer,Favorite Flannel Cozy,https://www.ravelry.com/patterns/library/favorite-flannel-cozy,,https://files.catbox.moe/yda7li.pdf,,,
Designer A–F,alicia-plummer,Community Cardigan,https://www.ravelry.com/patterns/library/community-cardi,cardigan,https://files.catbox.moe/c7ux2h.pdf,,,
Designer A–F,alicia-plummer,Cloudy Days,https://www.ravelry.com/patterns/library/cloudy-days-3,Pullover,https://files.catbox.moe/r2my3z.pdf,,,
Designer A–F,alicia-plummer,Caramel Brulee Hat,https://www.ravelry.com/patterns/library/caramel-brulee,hat,https://files.catbox.moe/cp9tns.pdf,,,
Designer A–F,alicia-plummer,Campside Cozy,https://www.ravelry.com/patterns/library/campside-cozy,Cardigan,https://files.catbox.moe/u5ja74.pdf,,,
Designer A–F,alicia-plummer,Antiquity,https://www.ravelry.com/patterns/library/antiquity,,https://files.catbox.moe/sdjr8d.pdf,,,
