Category,Forum Name,Title,Tags,Ravelry Link/Message,Catbox Link,Date Created
Designer A-F,aegyoknit,Sundae Swirl Tank by Jessie Maed Designs,,https://www.ravelry.com/patterns/library/sundae-swirl-tank,[<Message id=1384279400127922306 channel=<Thread id=1384279400127922306 name='Sundae Swirl Tank by Jessie Maed Designs' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=False> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 21:12:07
Designer A-F,aegyoknit,umma sweater,,https://www.ravelry.com/patterns/library/umma-sweater,[<Message id=1384240251127599144 channel=<Thread id=1384240251127599144 name='umma sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:36:33
Designer A-F,aegyoknit,sylvia wrap skirt,,https://www.ravelry.com/patterns/library/sylvia-wrap-skirt,[<Message id=1384240246753071177 channel=<Thread id=1384240246753071177 name='sylvia wrap skirt' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:36:32
Designer A-F,aegyoknit,umma cape,,https://www.ravelry.com/patterns/library/umma-cape,[<Message id=1384240249068322836 channel=<Thread id=1384240249068322836 name='umma cape' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:36:33
Designer A-F,aegyoknit,Sarang sweater,,https://www.ravelry.com/patterns/library/sarang-sweater,[<Message id=1384240207712227369 channel=<Thread id=1384240207712227369 name='Sarang sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:36:23
Designer A-F,aegyoknit,yoreum top,,https://www.ravelry.com/patterns/library/yoreum-top,[<Message id=1384240253476274227 channel=<Thread id=1384240253476274227 name='yoreum top' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:36:34
Designer A-F,aegyoknit,Petra bag,,https://www.ravelry.com/patterns/library/petra-bag,[<Message id=1384239128614404199 channel=<Thread id=1384239128614404199 name='Petra bag' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:32:06
Designer A-F,aegyoknit,seoul blouse,,https://www.ravelry.com/patterns/library/seoul-blouse,[<Message id=1384240209369104554 channel=<Thread id=1384240209369104554 name='seoul blouse' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:36:23
Designer A-F,aegyoknit,Obba sweater,,https://www.ravelry.com/patterns/library/obba-sweater,[<Message id=1384239127402254408 channel=<Thread id=1384239127402254408 name='Obba sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:32:05
Designer A-F,aegyoknit,san sweater,,https://www.ravelry.com/patterns/library/san-sweater,[<Message id=1384240205871190046 channel=<Thread id=1384240205871190046 name='san sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:36:23
Designer A-F,aegyoknit,ppoppo sweater,,https://www.ravelry.com/patterns/library/ppoppo-sweater,[<Message id=1384240203710988400 channel=<Thread id=1384240203710988400 name='ppoppo sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:36:22
Designer A-F,aegyoknit,sook moon sweater,,https://www.ravelry.com/patterns/library/sook-moon-sweater,[<Message id=1384240210904223796 channel=<Thread id=1384240210904223796 name='sook moon sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:36:24
Designer A-F,aegyoknit,Gujo collar,,https://www.ravelry.com/patterns/library/gujo-collar,[<Message id=1384239089724686378 channel=<Thread id=1384239089724686378 name='Gujo collar' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:56
Designer A-F,aegyoknit,gerda sweater,,https://www.ravelry.com/patterns/library/gerda-sweater-2,[<Message id=1384239085580849403 channel=<Thread id=1384239085580849403 name='gerda sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:55
Designer A-F,aegyoknit,goreum bag,,https://www.ravelry.com/patterns/library/goreum-bag,[<Message id=1384239087904358400 channel=<Thread id=1384239087904358400 name='goreum bag' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:56
